    i start_time  S a2 objective_value    violation time_of_incident     mi2 final_objective           feasible_better S_Objective
 2135      10676  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2139      10696  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2140      10701  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2153      10766  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2154      10771  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2155      10776  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2156      10781  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2158      10791  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2170      10851  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2172      10861  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2180      10901  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2185      10926  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2192      10961  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2198      10991  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2202      11011  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2207      11036  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2212      11061  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2218      11091  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2222      11111  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2227      11136  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2229      11146  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2291      11456  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2353      11766  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2354      11771  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2355      11776  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2359      11796  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2695      13476  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2696      13481  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2703      13516  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2705      13526  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2711      13556  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2712      13561  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2737      13686  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2738      13691  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2743      13716  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2745      13726  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2746      13731  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2747      13736  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2748      13741  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2758      13791  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2773      13866  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2777      13886  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2782      13911  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2786      13931  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2787      13936  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2788      13941  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2789      13946  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2791      13956  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2792      13961  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2796      13981  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2797      13986  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2801      14006  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2802      14011  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2805      14026  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2812      14061  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2815      14076  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2818      14091  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2820      14101  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2821      14106  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2823      14116  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2828      14141  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2829      14146  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 2830      14151  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
