 0:06:04.846 00:39:46.906  2022.06 Penumbra Shade
 2:48:29.107 02:48:58.200   29.093           Land
 2:49:29.606 02:49:53.371   23.765           Land
 2:49:33.620 02:50:02.221   28.601           Land
 2:49:35.783 02:49:58.435   22.652           Land
 2:49:42.060 02:50:24.128   42.068           Land
 2:49:50.093 02:50:18.633    28.54           Land
 2:50:20.153  3:06:18.951  958.798 Process_images
 3:06:20.471 03:06:44.285   23.814           Land
 3:06:31.825 03:15:57.209  565.383           Land
 3:06:56.281 03:07:14.036   17.755           Land
 3:07:15.556  3:19:42.943  747.387 Process_images
 3:19:44.463 03:20:08.643   24.179           Land
 3:19:47.185 03:20:19.528   32.343           Land
 3:19:47.323 03:20:10.011   22.688           Land
 3:19:54.940 03:20:19.330    24.39           Land
 3:19:57.147 03:20:21.692   24.545           Land
 3:19:58.658 03:20:25.726   27.069           Land
 3:20:04.373 03:20:29.084   24.711           Land
 3:20:23.677 03:20:46.961   23.284           Land
 3:20:24.342 03:20:50.357   26.015           Land
 3:20:28.591 03:20:52.592   24.001           Land
 3:20:31.698 03:20:56.916   25.218           Land
 3:20:58.436  3:23:08.579  130.143 Process_images
 3:23:10.099 03:23:45.724   35.625           Land
 3:23:15.603 03:23:39.886   24.283           Land
 3:24:30.551 03:30:31.659  361.108           Land
 3:27:29.012 04:01:10.928 2021.917 Penumbra Shade
 3:28:19.609 03:31:51.935  212.326           Land
 3:33:08.886 03:37:59.435  290.548           Land
 3:37:16.850 03:38:49.245   92.395           Land
 3:38:00.334 03:40:31.381  151.047           Land
 3:38:46.477 03:39:09.647    23.17           Land
 3:39:12.732 03:39:35.348   22.616           Land
 3:40:03.043 03:41:06.759   63.716           Land
 3:40:22.581 03:40:46.294   23.713           Land
 3:40:47.814  3:43:26.112  158.298 Process_images
 3:43:27.632 03:43:49.714   22.082           Land
 3:44:07.039 03:44:36.213   29.173           Land
 3:44:11.473 03:44:54.608   43.134           Land
 3:45:16.498 03:52:08.847  412.349           Land
 3:51:34.689 03:58:10.582  395.892           Land
 3:54:04.353 04:08:10.107  845.754     PrudhoeBay
 3:57:31.441 03:57:54.057   22.616           Land
 3:57:32.562 03:57:57.868   25.306           Land
 3:57:36.377 03:58:01.194   24.817           Land
 3:57:38.597 03:59:37.071  118.473           Land
 3:57:40.200 03:58:03.206   23.006           Land
 3:58:33.511 04:09:15.663  642.152       Svalbard
 3:59:01.500 03:59:24.047   22.547           Land
 3:59:18.005 04:00:10.427   52.422           Land
 3:59:23.913 04:00:21.123    57.21           Land
 3:59:54.403 04:00:21.559   27.156           Land
 4:00:01.513 04:00:41.004    39.49           Land
 4:00:03.775 04:00:27.075   23.299           Land
 4:00:08.816 04:00:31.285   22.468           Land
 4:00:32.805  4:05:59.086  326.281 Process_images
 4:06:00.606 04:06:39.007   38.401           Land
 4:06:13.704 04:06:41.424   27.719           Land
 4:07:05.396 04:07:27.563   22.167           Land
 4:07:05.807 04:07:45.616   39.809           Land
 4:07:07.362 04:07:30.290   22.928           Land
