435 58552864 58555898    3034 2
436 58555898 58574642   18744 2
437 58575126 58588404   13278 2
438 58588404 58611649   23245 2
439 58611649 58611649       0 2
440 58611649 58611649       0 2
441 58611649 58623656   12007 2
442 58625176 58762706  137530 2
443 58764226 58766930    2704 2
444 58766930 58766930       0 2
445 58766930 58767045     115 2
446 58767045 58789434   22389 2
447 58844533 58857886   13353 2
448 58857886 58857886       0 2
449 58857886 59163055  305169 2
450 59163055 59348992  185937 2
451 59348992 59409487   60495 2
452 59409487 59563086  153599 4
453 59563086 59563087       1 2
454 59581378 59587323    5945 2
455 59587323 59587323       0 2
456 59587323 59610455   23132 2
457 59661970 59669392    7422 2
458 59669392 59722187   52795 2
459 59810400 59835819   25419 1
460 59835819 59835819       0 1
461 59835819 59836313     494 1
462 59836313 59836313       0 1
463 59836313 59845614    9301 1
464 59845614 59846852    1238 1
465 59846852 59846852       0 1
466 59846852 59869406   22554 1
467 59869406 59869406       0 1
468 59869406 59872788    3382 1
469 59915770 59967316   51546 4
470 59967316 59967316       0 1
471 59967316 59967316       0 1
472 59967316 59967316       0 1
473 59967316 59967316       0 1
474 59967316 59973580    6264 1
475 59973580 59979088    5508 1
476 59980608 60114797  134189 2
477 60116317 60116373      56 1
478 60116373 60123909    7536 1
479 60123909 60147115   23206 1
480 60147115 60150333    3218 1
481 60197090 60203555    6465 1
482 60203555 60203555       0 1
483 60203555 60214956   11401 1
484 60214956 60215473     517 1
485 60215473 60229179   13706 1
486 60229179 60251108   21929 1
487 60251108 60269836   18728 1
488 60269836 60273506    3670 1
489 60273506 60273506       0 1
490 60273506 60281200    7694 1
491 60281200 60293980   12780 1
492 60307896 60332961   25065 1
493 60332961 60332961       0 1
494 60332961 60333215     254 1
495 60333215 60335780    2565 1
496 60335780 60335780       0 1
497 60335780 60338601    2821 1
498 60338601 60346145    7544 1
499 60346145 60349811    3666 1
500 60349811 60371741   21930 1
501 60371741 60378562    6821 1
502 60378562 60402506   23944 1
503 60402506 60421421   18915 1
504 60421421 60423884    2463 1
505 60433361 60445635   12274 1
506 60445635 60445635       0 1
507 60445635 60448765    3130 1
508 60448765 60448765       0 1
509 60448765 60450210    1445 1
510 60450210 60477867   27657 1
511 60479276 60507400   28124 1
512 60507400 60534937   27537 1
513 60607678 60916600  308922 1
514 60916600 60939778   23178 1
515 60941298 61098820  157522 2
516 61100341 61175838   75497 1
517 61177358 62691619 1514261 2
518 62693139 62718427   25288 1
519 62718427 62719737    1310 1
520 62719737 62760803   41066 1
521 62760803 62760803       0 1
522 62760803 62760803       0 1
523 62760803 62775184   14381 1
524 62775184 62780163    4979 1
525 62780163 62785853    5690 1
526 62785853 62787234    1381 1
527 62787234 62787234       0 1
528 62787234 62787234       0 1
529 62787234 62792301    5067 1
530 62792301 62792301       0 1
531 62792301 62792301       0 1
532 62792301 62792301       0 1
533 62792301 62792301       0 1
534 62792301 62792301       0 1
535 62792301 62792301       0 1
536 62792301 62792301       0 1
537 62792301 62803783   11482 1
538 62825207 62858135   32928 1
539 62923849 63291924  368075 1
540 63291924 63314224   22300 1
541 63314224 63314224       0 1
542 63314224 63338198   23974 1
543 63339718 63775324  435606 2
544 64862453 64875096   12643 2
545 64875096 65061869  186773 2
546 65061869 65061869       0 2
